epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6298,1.42236,3.48488,1.48564,0.67281,0.17606,0.21207,0.09687,1.84484,2.81722,1.78145,0.000235571,0.000235571,0.000235571
2,69.9004,1.3925,2.30927,1.47689,0.50214,0.40155,0.40607,0.17985,1.96125,2.02903,1.91777,0.000468883,0.000468883,0.000468883
3,102.223,1.32931,1.90338,1.45903,0.5798,0.34692,0.37433,0.16787,1.91018,2.00198,1.8558,0.000697482,0.000697482,0.000697482
4,134.252,1.30883,1.76582,1.4323,0.58061,0.43729,0.47196,0.20393,1.9366,1.78956,1.83477,0.000692794,0.000692794,0.000692794
5,167.679,1.27944,1.67725,1.40774,0.64682,0.46395,0.48072,0.22541,1.81344,1.66841,1.80181,0.000685726,0.000685726,0.000685726
6,199.686,1.24784,1.60784,1.39039,0.54784,0.42213,0.44256,0.18129,2.05106,1.88567,2.03387,0.000678657,0.000678657,0.000678657
7,231.561,1.23561,1.55195,1.38158,0.63266,0.4964,0.52537,0.23515,1.81866,1.68338,1.77751,0.000671588,0.000671588,0.000671588
8,263.475,1.214,1.48941,1.35806,0.64185,0.49322,0.5277,0.24245,1.82994,1.58521,1.80891,0.00066452,0.00066452,0.00066452
9,297.378,1.19155,1.48131,1.36146,0.72812,0.54338,0.5992,0.28269,1.79674,1.44326,1.74954,0.000657451,0.000657451,0.000657451
10,329.109,1.17887,1.44504,1.34951,0.71115,0.54795,0.59138,0.27097,1.81051,1.48919,1.74058,0.000650383,0.000650383,0.000650383
11,361.17,1.17848,1.4107,1.3357,0.69485,0.51067,0.56534,0.26327,1.84584,1.5072,1.75441,0.000643314,0.000643314,0.000643314
12,392.971,1.17112,1.38486,1.32424,0.69319,0.51953,0.56972,0.24439,1.94486,1.4887,1.83556,0.000636245,0.000636245,0.000636245
13,426.455,1.15946,1.35386,1.32209,0.73958,0.50988,0.58541,0.27458,1.7944,1.48036,1.75212,0.000629177,0.000629177,0.000629177
14,457.93,1.1383,1.31215,1.3044,0.74185,0.52907,0.6023,0.26773,1.85321,1.42791,1.78247,0.000622108,0.000622108,0.000622108
15,490.027,1.12983,1.30079,1.30307,0.72254,0.5705,0.61252,0.29056,1.81167,1.39426,1.74276,0.00061504,0.00061504,0.00061504
16,522.022,1.13359,1.28568,1.30089,0.72282,0.58942,0.64138,0.29823,1.79074,1.32791,1.72676,0.000607971,0.000607971,0.000607971
17,555.716,1.12196,1.25808,1.29399,0.68264,0.5704,0.59575,0.27134,1.83018,1.3782,1.75623,0.000600902,0.000600902,0.000600902
18,588.479,1.10429,1.23229,1.28516,0.77786,0.56568,0.6239,0.28954,1.81149,1.38484,1.76218,0.000593834,0.000593834,0.000593834
19,620.526,1.09422,1.20491,1.27544,0.75247,0.56642,0.62398,0.30498,1.75743,1.30497,1.72189,0.000586765,0.000586765,0.000586765
20,652.603,1.09187,1.20121,1.27772,0.77949,0.5991,0.63999,0.32264,1.73363,1.24786,1.69318,0.000579697,0.000579697,0.000579697
